dataset,model,train_size,interface_name,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,final_eval_loss,elapsed_seconds
MuSiQue,1B,500,gold_supporting_paragraphs,0.27,0.3748096718096718,0.29333333333333333,396.36333333333334,0,0.7033736322075128,69.03967595100403
MuSiQue,1B,500,raw_context,0.08333333333333333,0.15068612868612868,0.09333333333333334,2379.4866666666667,28,1.2949273405701387,265.37886023521423
MuSiQue,1B,500,raw_support_first,0.25333333333333335,0.3503900715841892,0.27,2379.4866666666667,28,0.8819800253739232,173.49029278755188
MuSiQue,1B,1000,gold_supporting_paragraphs,0.33,0.4423305086726139,0.3466666666666667,396.36333333333334,0,0.6308571703918279,126.52486944198608
MuSiQue,1B,1000,raw_context,0.13333333333333333,0.2148177748177748,0.14,2379.4866666666667,28,1.1537148722833082,513.0196144580841
MuSiQue,1B,1000,raw_support_first,0.28,0.37997238209709605,0.29333333333333333,2379.4866666666667,28,0.7879257489059819,517.4519102573395
MuSiQue,1B,2000,gold_supporting_paragraphs,0.38333333333333336,0.5184240458543864,0.4,396.36333333333334,0,0.5558657984063029,332.0711233615875
MuSiQue,1B,2000,raw_context,0.14,0.23912958152958153,0.14666666666666667,2379.4866666666667,28,1.0294852372595777,1174.2078099250793
MuSiQue,1B,2000,raw_support_first,0.31,0.4125827690827691,0.32666666666666666,2379.4866666666667,28,0.7319525686110137,1224.3361687660217
MuSiQue,3B,500,gold_supporting_paragraphs,0.4,0.5219822595704948,0.44666666666666666,396.36333333333334,0,0.4656876023858786,85.9243016242981
MuSiQue,3B,500,raw_context,0.17666666666666667,0.2589789283413354,0.18666666666666668,2379.4866666666667,28,0.9226755207643146,529.4835569858551
MuSiQue,3B,500,raw_support_first,0.35,0.4667413724383034,0.38,2379.4866666666667,28,0.6360035470558796,234.13898587226868
MuSiQue,3B,1000,gold_supporting_paragraphs,0.4633333333333333,0.584024360171419,0.5066666666666667,396.36333333333334,0,0.4307746303081512,261.6506631374359
MuSiQue,3B,1000,raw_context,0.25333333333333335,0.3441220377046464,0.25666666666666665,2379.4866666666667,28,0.7865164210333023,721.5488753318787
MuSiQue,3B,1000,raw_support_first,0.39,0.5012503472183779,0.42333333333333334,2379.4866666666667,28,0.5899169696774333,675.0380485057831
MuSiQue,3B,2000,gold_supporting_paragraphs,0.49333333333333335,0.6210902158843336,0.5366666666666666,396.36333333333334,0,0.3817545810900629,457.97319769859314
MuSiQue,3B,2000,raw_context,0.3233333333333333,0.4207245491999878,0.33666666666666667,2379.4866666666667,28,0.6548870169185101,1864.2316317558289
MuSiQue,3B,2000,raw_support_first,0.44,0.5475201226735753,0.4633333333333333,2379.4866666666667,28,0.5093449940843857,2751.944488286972
