model_label,interface_name,interface_label,train_size,final_eval_loss,exact_match,f1,answer_contained,avg_prompt_tokens,source_summary
Llama-3.2-1B,raw_context,Raw context,500,0.898704,0.266667,0.379492,0.3,1427.7066666666667,rank_sweep/hotpotqa_lora_rank_sweep_summary.json
Llama-3.2-1B,raw_support_first,Support first,500,0.636107,0.41,0.538658,0.443333,1427.7066666666667,rank_sweep/hotpotqa_evidence_quality_lora_r8_summary.json
Llama-3.2-1B,gold_supporting_sentences,Gold evidence,500,0.557893,0.47,0.604591,0.533333,157.93333333333334,rank_sweep/hotpotqa_lora_rank_sweep_summary.json
Llama-3.2-1B,gold_plus_1_distractor,Gold + 1 distractor,500,0.542146,0.443333,0.566012,0.496667,307.5733333333333,rank_sweep/hotpotqa_evidence_quality_lora_r8_summary.json
Llama-3.2-1B,gold_plus_3_distractors,Gold + 3 distractors,500,0.555655,0.446667,0.564082,0.49,594.4633333333334,rank_sweep/hotpotqa_evidence_quality_lora_r8_summary.json
